,endTime,artistName,trackName,msPlayed
358,2021-05-03 16:45,Young Stoner Life,Solid (feat. Drake),58442.0
359,2021-05-03 16:47,Mura Masa,Love$ick (feat. A$AP Rocky),6185.0
360,2021-05-03 16:47,Young Stoner Life,Ski,152333.0
361,2021-05-03 16:50,Young Stoner Life,Diamonds Dancing (feat. Travis Scott),135722.0
362,2021-05-03 16:55,Cherub,Doses & Mimosas,323253.0
363,2021-05-03 16:57,Wes Walker,Jordan Belfort,93196.0
364,2021-05-03 16:57,Mac Miller,The Spins,52287.0
365,2021-05-03 17:00,Mac Miller,Kool Aid & Frozen Pizza,157540.0
366,2021-05-03 17:03,Post Malone,Wow.,149546.0
367,2021-05-03 17:06,Post Malone,Congratulations,220293.0
368,2021-05-03 17:12,Cherub,Doses & Mimosas,323253.0
369,2021-05-03 17:14,sammy rash,summer&cigarettes,114427.0
370,2021-05-03 17:16,Post Malone,Wow.,149546.0
371,2021-05-03 17:19,Post Malone,Wow.,149546.0
372,2021-05-03 17:21,Post Malone,Wow.,149546.0
373,2021-05-03 17:25,Post Malone,Candy Paint,227533.0
374,2021-05-03 17:29,Post Malone,Candy Paint,227533.0
375,2021-05-03 17:33,Shordie Shordie,LOVE (feat. Trippie Redd),255093.0
376,2021-05-03 17:36,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),213080.0
377,2021-05-03 17:38,sammy rash,summer&cigarettes,114427.0
378,2021-05-03 17:40,Mac Miller,The Spins,125661.0
379,2021-05-03 17:44,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir),201418.0
380,2021-05-03 17:46,Kevin Gates,Big Gangsta,148469.0
